case_id,image_width,image_height,mpp_x,mpp_y,patch_min_x_pixel,patch_min_y_pixel,patch_size,patch_polygon_area,percent_nuclear_material,tumorFlag,grayscale_patch_mean,grayscale_patch_std,hematoxylin_patch_mean,hematoxylin_patch_std,grayscale_segment_mean,grayscale_segment_std,hematoxylin_segment_mean,hematoxylin_segment_std,flatness_segment_mean,flatness_segment_std,perimeter_segment_mean,perimeter_segment_std,circularity_segment_mean,circularity_segment_std,r_GradientMean_segment_mean,r_GradientMean_segment_std,b_GradientMean_segment_mean,b_GradientMean_segment_std,r_cytoIntensityMean_segment_mean,r_cytoIntensityMean_segment_std,b_cytoIntensityMean_segment_mean,b_cytoIntensityMean_segment_std,elongation_segment_mean,elongation_segment_std,datetime,patch_index,tile_minx,tile_miny,user
PC_058_0_1,162239,86955,0.2464,0.2464,30208,61440,512,0,0,tumor,166.1740952,35.39302001,23.60111237,8.656806111,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018-09-17T16:57:52.199Z,12,28672,59392,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,30208,61952,512,12020.75,4.585552216,tumor,169.4922523,31.74408518,21.72631454,7.543933982,n/a,n/a,n/a,n/a,1.520861707,0.63325133,65.56922439,29.64496809,0.821358268,0.11357087,13.92687488,3.193426925,9.16787439,1.857338,193.9516341,16.01428747,154.8806585,12.64175011,1.520861707,0.63325133,2018-09-17T16:23:32.664Z,9,28672,61440,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,30208,62464,512,6469.5,2.467918396,tumor,173.5715866,27.63802287,17.65209579,6.483044088,n/a,n/a,n/a,n/a,1.533842,0.63501092,66.227336,30.40753812,0.8280918,0.120848115,12.5447512,3.482108188,8.6084656,1.76452491,192.42876,18.81788904,153.50508,14.47787065,1.533842,0.63501092,2018-09-17T16:23:37.004Z,10,28672,61440,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,30208,62976,512,8726.25,3.328800201,tumor,173.7409477,28.85187553,18.38147354,6.882585056,n/a,n/a,n/a,n/a,1.503785313,0.534009939,62.19112188,33.3673657,0.829842031,0.122636968,14.22197031,2.989595265,9.685448438,2.746428177,195.3668438,15.17303436,157.942875,13.42252621,1.503785313,0.534009939,2018-09-17T16:23:41.373Z,11,28672,61440,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,30208,63488,512,0,0,tumor,174.5089645,27.68091672,17.35009003,6.496032337,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018-09-17T16:23:45.585Z,12,28672,61440,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,30208,64000,512,15807.25,6.029987335,tumor,173.4382706,31.2544558,21.08477402,7.322637607,n/a,n/a,n/a,n/a,1.79974875,0.784541962,80.15829583,51.7673002,0.756932958,0.159209512,13.48834875,3.851438212,8.960882917,1.985905234,198.3594375,16.96428709,160.9917708,14.71099059,1.79974875,0.784541962,2018-09-17T17:00:30.865Z,9,28672,63488,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,30208,64512,512,17640,6.729125977,tumor,174.918457,29.40223184,18.31083679,6.909581488,n/a,n/a,n/a,n/a,1.8269236,0.706299719,78.2072226,51.56430104,0.7652252,0.158473895,12.206583,2.997436064,8.841954,1.500137851,198.78304,10.84769381,167.18148,8.715394724,1.8269236,0.706299719,2018-09-17T17:00:34.126Z,10,28672,63488,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,30208,65024,512,8703.375,3.320074081,tumor,179.1388321,26.32719952,22.26789856,5.825615643,n/a,n/a,n/a,n/a,1.70070475,0.869592991,61.1959925,39.43888125,0.8248211,0.181372276,12.441628,3.709098526,9.30577125,2.465478888,198.487425,10.93598409,168.1445,9.152333386,1.70070475,0.869592991,2018-09-17T17:00:37.335Z,11,28672,63488,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,30208,65536,512,0,0,tumor,179.5513115,27.60512617,21.00218201,6.387276815,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018-09-17T17:00:40.360Z,12,28672,63488,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,30208,66048,512,7379.25,2.81496048,tumor,184.4740486,28.1979341,21.8589592,6.06452021,n/a,n/a,n/a,n/a,1.807401765,0.817270165,57.41935882,29.48112206,0.792309235,0.145680377,14.93466559,4.90220291,10.44945735,2.877245859,202.9395,17.51912917,168.6252647,15.26261708,1.807401765,0.817270165,2018-09-17T16:16:26.746Z,9,28672,65536,dr.rajarsi.gupta
